cluster_name,jr_16p,jr_50p,jr_84p,jphi_16p,jphi_50p,jphi_84p,jz_16p,jz_50p,jz_84p,age_16p,age_50p,age_84p,n_members,n_with_rv,radius_pc
Alessi_145,0.1536686939307873,0.5655988843260806,2.835713675794942,0.0041839404120352,0.014972600749897648,0.054041122554519726,0.045547242755911994,0.14255957368949396,0.2965654549604936,95.74020652923116,168.0256754863736,277.7567040182955,143.0,61,82.18265609
CWNU_77,0.16096776000905277,0.6070101959539709,1.7197853732917812,0.010379662728476884,0.03752272931121806,0.09664211643156717,0.027665165809867494,0.09468675977617266,0.22865924856263442,43.30637776896177,70.96312463207605,119.64700724807392,108.0,36,52.12312162
CWNU_174,0.07996127048434878,0.49212242549244967,1.5488324978311385,0.024538556332857363,0.06957186597364015,0.13774459404882267,0.06799879811196535,0.21606856663208993,0.428432215414765,81.3177474655402,131.97451358251584,221.97201271874692,68.0,13,60.18012071
CWNU_1012,0.03572584490473814,0.14812052814980686,0.8381249133486239,0.002012019905752922,0.008379724074864692,0.03743694240248569,0.029653315589163027,0.11488677028576255,0.8360145086922933,70.60662943931194,135.15235263914195,237.0644814420793,225.0,86,65.14914652
CWNU_1024,0.23527315110858116,0.8301164937479938,3.0088880267489553,0.0052115053782036055,0.019073695715911727,0.07057070963021736,0.07417362624261929,0.25151191865656863,0.7262298321298823,16.359693391734577,32.435611501317176,60.47490572389024,336.0,86,61.10249283
CWNU_1095,0.010436874518830727,0.04688346495899502,0.14248189242486517,0.0011948405845234884,0.0046018298605690995,0.01234553721032102,0.02554774983002727,0.09121197972897108,0.4581062901075828,153.71932897936708,254.32347557544628,493.7370865215054,163.0,65,90.56513123
CWNU_1121,0.15413565637752016,0.6142332786415049,2.4750035146100378,0.0049777017027752765,0.01619317926927974,0.0816589504873677,0.032604883919531105,0.11404897669859745,0.41940728043522385,27.01668380720933,55.0050976480216,109.90067757380731,86.0,24,60.3179053
CWNU_1138,0.14526657401468795,0.4710511229876267,1.0327377306293777,0.004413015175656289,0.014957822714596884,0.032349523349745626,0.05021950639889494,0.17531028747768918,0.4668571879318637,48.97708123562979,82.44895204861683,141.805899819817,104.0,43,69.06596497
CWNU_1291,0.39266156223409665,0.39266156223409665,0.39266156223409665,0.020651108550168554,0.020651108550168554,0.020651108550168554,0.12848646562927776,0.12848646562927776,0.12848646562927776,291.8517353713543,446.8234834358862,735.2871733036785,49.0,2,54.68585758
HSC_95,0.0739105428364775,0.4392106803241393,1.9074019481329567,0.0019506362190138294,0.009089490537992358,0.032869134732159994,0.07965371643182016,0.37810934651512484,1.4424342407979616,170.5649220064184,313.41824180259414,592.1313021123736,139.0,51,85.36587975
HSC_310,0.052836487259556204,0.2605606344742151,0.8660381648263927,0.0038781530490872873,0.018529143602983907,0.04876892807231478,0.09464068132187227,0.37114742570625636,0.9080843552400693,43.51566753166289,92.54860351943344,169.88535420100655,87.0,25,79.5222948
